system,order,num_pips,num_flat_exponents,jit,run,batch_size,run_per_sample,throughput
A2B2,8,882,3003,1.9145717970095573,0.0002409643499413,32,7.530135935667203e-6,132799.72746088222
A2B2,8,882,3003,1.9038199320202691,0.0001964781270362,64,3.0699707349413075e-6,325736.0041313613
A2B2,8,882,3003,1.9013635610463095,0.0002893674599472,128,2.2606832808378385e-6,442344.139259254
A2B2,8,882,3003,1.9197270430158824,0.0004262137759942,256,1.664897562477563e-6,600637.5542480119
A2B2,8,882,3003,1.925562035990879,0.0007058369640726,512,1.3785878204544134e-6,725379.9759164981
A2B2,8,882,3003,1.937662434997037,0.0013457217980176,1024,1.314181443376583e-6,760929.9347818037
A2B2,8,882,3003,1.9576699991011992,0.0018058801669394,2048,8.817774252634081e-7,1134073.0340213417
A2B2,8,882,3003,1.9478841460077088,0.0038364436979172,4096,9.366317621868348e-7,1067655.4440831838
A2B2,8,882,3003,1.9529965069377797,0.0065665140839992,8192,8.015764262694347e-7,1247541.6781579214
A2B2,8,882,3003,2.016795261995867,0.0127205443260027,16384,7.764004105226263e-7,1287995.19738386
A2B2C,3,102,286,2.790041815955192,0.0000416140599409,1,0.0000416140599409,24030.339779870283
A2B2C,3,102,286,1.906426109955646,0.000116824637982,2,0.000058412318991,17119.676418831066
A2B2C,3,102,286,1.8855105489492416,0.0001168464550282,4,0.000029211613757,34232.95981920779
A2B2C,3,102,286,1.8811602710047737,0.0001161253330064,8,0.0000145156666258,68891.08339136164
A2B2C,3,102,286,1.878732286975719,0.0001176157960435,16,7.350987252721097e-6,136036.1493797765
A2B2C,3,102,286,1.9039157109800728,0.0001172572770155,32,3.6642899067373945e-6,272904.17119053187
A2B2C,3,102,286,1.8865732909180224,0.0001168446990195,64,1.8256984221807216e-6,547735.5886661398
A2B2C,3,102,286,1.888364854035899,0.0001177564490353,128,9.199722580888192e-7,1086989.2990875975
A2B2C,3,102,286,1.9124565429519864,0.0001200503929285,256,4.6894684737708316e-7,2132437.835104783
A2B2C,3,102,286,1.915363879990764,0.000201770027983,512,3.940820859043015e-7,2537542.394766046
A2B2C,3,102,286,1.930469851009548,0.0002527066490147,1024,2.4678383692844365e-7,4052129.233609232
A2B2C,3,102,286,0.8202934969449416,0.0003504860029788,2048,1.7113574364202577e-7,5843314.661908128
A2B2C,3,102,286,0.8179269869579002,0.0006245107139693,4096,1.5246843602767514e-7,6558734.555514731
A2B2C,3,102,286,2.000090385088697,0.0010712408779654,8192,1.307667087360187e-7,7647206.308592806
A2B2C,3,102,286,2.0161338669713587,0.0020940612370613,16384,1.278113548011106e-7,7824030.983445225
A2B2C,4,323,1001,1.973208580049686,0.0000438978329766,1,0.0000438978329766,22780.167771193213
A2B2C,4,323,1001,1.890765196993016,0.0001105435689678,2,0.0000552717844839,18092.413866082283
A2B2C,4,323,1001,1.8835031199269,0.000110780193936,4,0.000027695048484,36107.53743857863
A2B2C,4,323,1001,1.89150697295554,0.0001123458490474,8,0.0000140432311309,71208.6834345223
A2B2C,4,323,1001,1.920718440087512,0.0001122579490765,16,7.016121817287057e-6,142528.88220043373
A2B2C,4,323,1001,1.9119574840879068,0.0001149650110164,32,3.592656594264554e-6,278345.5567661089
A2B2C,4,323,1001,1.896360594080761,0.0001154325320385,64,1.803633313102182e-6,554436.4216028131
A2B2C,4,323,1001,1.9094070660648867,0.0001914838090306,128,1.495967258051678e-6,668463.8280802901
A2B2C,4,323,1001,1.9271874909754845,0.0002172228390118,256,8.485267148898856e-7,1178513.2777225184
A2B2C,4,323,1001,1.9270498889964076,0.0003076632299926,512,6.009047460793226e-7,1664157.2670620822
A2B2C,4,323,1001,1.9610536670079453,0.0004587809429503,1024,4.4802826459999777e-7,2232002.038739243
A2B2C,4,323,1001,1.9470443710451943,0.0008413740429095,2048,4.108271693894494e-7,2434113.599366248
A2B2C,4,323,1001,1.939146506018005,0.0018791290740482,4096,4.5877174659381124e-7,2179733.184147853
A2B2C,4,323,1001,2.016226539039053,0.0033214934540446,8192,4.0545574390193915e-7,2466360.422906855
