system,order,num_pips,num_flat_exponents,jit,run,batch_size,run_per_sample,throughput
A2B2,3,33,84,2.0042742965742946,0.0007928857179358,16384,4.8393903682608654e-8,20663759.76938125
A2B2,4,75,210,1.9915769970975816,0.0000413337922655,1,0.0000413337922655,24193.279764328738
A2B2,4,75,210,1.9411492496728897,0.0001021500430069,2,0.0000510750215034,19579.04217292609
A2B2,4,75,210,1.932030823081732,0.0001028940700925,4,0.0000257235175231,38874.93221330074
A2B2,4,75,210,1.919874909799546,0.0001020642062649,8,0.0000127580257831,78382.03316092592
A2B2,4,75,210,1.9385725101456048,0.0001008199756033,16,6.3012484752107415e-6,158698.70930086685
A2B2,4,75,210,1.9455981091596184,0.0001020470731891,32,3.1889710371615365e-6,313580.7720881929
A2B2,4,75,210,1.942010211758316,0.0001011983221396,64,1.581223783432506e-6,632421.5525200419
A2B2,4,75,210,1.9388363980688157,0.0001022881469689,128,7.991261481947731e-7,1251366.886515979
A2B2,4,75,210,1.944845475256443,0.0001043049390427,256,4.07441168135847e-7,2454342.069985881
A2B2,4,75,210,1.940906126983464,0.0001481140237301,512,2.892852025979665e-7,3456796.2378281346
A2B2,4,75,210,1.9648352251388133,0.0001950786598026,1024,1.9050650371355005e-7,5249164.624340715
A2B2,4,75,210,1.9761805161833763,0.000281798926182,2048,1.3759713192484924e-7,7267593.343051403
A2B2,4,75,210,1.9909611297771332,0.0004759650724008,4096,1.1620241025411814e-7,8605673.477969538
A2B2,4,75,210,1.9731960003264248,0.0008597120181657,8192,1.0494531471749725e-7,9528772.224771582
A2B2,4,75,210,2.01010460825637,0.0015584480050019,16384,9.512011749279737e-8,10513023.179094806
A2B2,5,153,462,1.9911764529533684,0.000042241086252,1,0.000042241086252,23673.633628487823
A2B2,5,153,462,1.934838179964572,0.000081944078207,2,0.0000409720391035,24406.88874365496
A2B2,5,153,462,1.93966672802344,0.0000805535879917,4,0.0000201383969979,49656.38526753084
A2B2,5,153,462,1.943779387045652,0.0000817305231466,8,0.0000102163153933,97882.6476571268
A2B2,5,153,462,1.956389275379479,0.0000818469082005,16,5.115431762533262e-6,195486.92005321177
A2B2,5,153,462,1.955256614368409,0.0000831537102349,32,2.598553444840945e-6,384829.49118685874
A2B2,5,153,462,1.9446243811398745,0.0000825827904045,64,1.2903561000712217e-6,774979.8679177047
A2B2,5,153,462,1.9400759520940485,0.0001593305179849,128,1.2447696717572395e-6,803361.4753710229
A2B2,5,153,462,1.9440477322787049,0.0002049336098134,256,8.00521913333796e-7,1249185.0420876949
A2B2,5,153,462,1.953465359751135,0.0002462746729142,512,4.810052205357351e-7,2078979.5147882544
A2B2,5,153,462,1.9642287702299652,0.0003371762968599,1024,3.292737274023239e-7,3036986.910219374
A2B2,5,153,462,1.977248298935592,0.0004390645311214,2048,2.1438697808662254e-7,4664462.407767847
A2B2,5,153,462,1.9864205438643692,0.0009434323199093,4096,2.303301562278648e-7,4341593.894508123
A2B2,5,153,462,1.992477410007268,0.0016761762900277,8192,2.0461136352878385e-7,4887314.090252492
A2B2,5,153,462,2.0349759622476995,0.0031804737481288,16384,1.9412071216606818e-7,5151433.810651338
A2B2,6,291,924,1.994782559107989,0.0000435979799367,1,0.0000435979799367,22936.842520015474
A2B2,6,291,924,1.9486390249803665,0.0001067722551524,2,0.0000533861275762,18731.45787867952
A2B2,6,291,924,1.9430063939653337,0.0001070747068151,4,0.0000267686767037,37357.095050507305
A2B2,6,291,924,1.9619944179430604,0.0001078448300249,8,0.0000134806037531,74180.65379811359
A2B2,6,291,924,1.963287405204028,0.0001079610488377,16,6.747565552359447e-6,148201.5983750356
A2B2,6,291,924,1.962507933843881,0.0001096147987991,32,3.425462462473661e-6,291931.3847269139
A2B2,6,291,924,1.9763645972125232,0.000110442334786,64,1.725661481032148e-6,579487.9302758051
A2B2,6,291,924,1.9478971352800727,0.0003008292228914,128,2.3502283038396856e-6,425490.57824137766
A2B2,6,291,924,1.9694590801373124,0.0003439697511494,256,1.343631840427406e-6,744251.4905585316
A2B2,6,291,924,1.9822771628387272,0.0002683030669577,512,5.240294276518398e-7,1908289.777696207
